Apartment Name,Address,Website,Rent (2x2 Est.),Star Rating,Comments,Exact Postal Address,Distance (miles),Driving Time (Mon 8AM),Distance (miles),Driving Time (Mon 8AM)
Hope + Flower,1201 S Hope St Los Angeles CA 90015,https://hopeflowerdtla.com/,"$4,500",3.9,"Modern DTLA apartments, yoga classes, welcoming staff, 761 reviews.","1201 S Hope St, Los Angeles, CA 90015",2.1,10 min,2.1,10 min
Packard Lofts,1000 S Hope St Los Angeles CA 90015,http://www.packardloftsla.com/,"$5,095/mo",4.5,"Spacious units, great soundproofing, on-site security, central DTLA location.","1000 S Hope St, Los Angeles, CA 90015",2.1,10 min,2.1,10 min
The Shrine Collection,3030 Shrine Pl Los Angeles CA 90007,http://www.shrinecollection.com/,"$3,000/mo",4.5,"Fully furnished, 5-10 min walk to USC, in-unit laundry, community events.","3030 Shrine Pl, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
The 1200,1200 W 35th St Los Angeles CA 90007,http://www.uscsh.com/,N/A,4.5,"Weekly cleaning, responsive USC student housing, great location.","1200 W 35th St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
Heritage 1275,1275 W 30th St Los Angeles CA 90007,https://heritagestudenthousing.com/heritage-1275/,"$1,998/mo",4.4,"Near USC, Victory Housing management, community events, DJ nights.","1275 W 30th St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
Park Fifth,427 W 5th St Los Angeles CA 90013,https://www.parkfifthtower.com/,"$4,116/mo",4.5,"360 rooftop pool, DTLA high-rise, gym with city views, 252 reviews.","427 W 5th St, Los Angeles, CA 90013",3.5,15 min,3.5,15 min
Berkshire K2LA,685 S New Hampshire Ave Los Angeles CA 90005,http://www.berkshirek2la.com/,"$3,200/mo",4.4,"Responsive maintenance, well-managed, Koreatown location.","685 S New Hampshire Ave, Los Angeles, CA 90005",3.2,15 min,3.2,15 min
Palisades I & II,1210-1226 W Adams Blvd Los Angeles CA 90007,http://www.palisadesusc.com/,"$2,600/mo",4.4,"Spacious units, good value, near USC campus.","1210-1226 W Adams Blvd, Los Angeles, CA 90007",0.9,5 min,0.9,5 min
Rise Koreatown,750 S Oxford Ave Los Angeles CA 90005,https://www.liverisekoreatown.com/,N/A,4.9,"State-of-the-art amenities, on-site market & café, Koreatown location.","750 S Oxford Ave, Los Angeles, CA 90005",3.5,15 min,3.5,15 min
HWH Luxury Living,354 S Spring St Los Angeles CA 90013,https://hwhluxuryliving.com/,"$3,200/mo",4.3,"Rooftop pool & hot tub, city views, historic DTLA, 25/7 valet parking.","354 S Spring St, Los Angeles, CA 90013",N/A,N/A,N/A,N/A
Villa Vicente,5351 S San Vicente Blvd Los Angeles CA 90019,https://www.esring.com/apartments/ca/los-angeles/villa-vicente/,N/A,2.4,"Park-like grounds, waterfalls, superb maintenance, centrally located.","5351 San Vicente Blvd, Los Angeles, CA 90019",5.2,20 min,5.2,20 min
The Lorenzo,325 W Adams Blvd Los Angeles CA 90007,https://www.thelorenzo.com/,"$3,300",4.1,"USC's largest complex, 1480 reviews, restaurant & pool on-site, great leasing team.","325 W Adams Blvd, Los Angeles, CA 90007, USA",0.5,5 min,0.5,5 min
Cardinal Gardens,3131 McClintock Ave Los Angeles CA 90007,http://housing.usc.edu/index.php/buildings/cardinal-gardens/,N/A,4.2,"Right across USC campus, fully furnished 1BR, USC official housing.","3131 McClintock Ave, Los Angeles, CA 90007",0.5,2 min,0.5,2 min
Hallasan,696 S New Hampshire Ave Los Angeles CA 90005,https://www.hollandresidential.com/ca/los-angeles/hallasan,"$4,510/mo",4.5,"Rooftop pool & jacuzzi, 35th-floor city views, Koreatown location.","696 S New Hampshire Ave, Los Angeles, CA 90005",3.5,15 min,3.5,15 min
University Gateway,3335 S Figueroa St Los Angeles CA 90007,https://www.livegw.com/,"$2,140/mo",1.2,"Directly across from USC, pool, gym, spacious modern units, 647 reviews.","3335 S Figueroa St, Los Angeles, CA 90007",0.5,2 min,0.5,2 min
Nari Koreatown,3150 Wilshire Blvd Los Angeles CA 90010,https://www.harborgroupmanagement.com/apartments/ca/los-angeles/koreatown-nari,"$3,200/mo",4.1,"Luxury, stunning views, amazing amenities, Koreatown, 417 reviews.","3150 Wilshire Blvd, Los Angeles, CA 90010",3.5,15 min,3.5,15 min
3033 Wilshire,3033 Wilshire Blvd Los Angeles CA 90010,https://www.udr.com/los-angeles-apartments/downtown-los-angeles/3033-wilshire/,"$4,652/mo",4.1,"Fast maintenance, friendly concierge, Wilshire corridor.","3033 Wilshire Blvd, Los Angeles, CA 90010",3.5,15 min,3.5,15 min
Tessera USC,1069 W Exposition Blvd Los Angeles CA 90007,https://www.tesserausc.com/,N/A,4.1,"New build, rooftop pool, near USC Exposition Blvd.","1069 W Exposition Blvd, Los Angeles, CA 90007",0.5,2 min,0.5,2 min
Radius Koreatown,680 S Berendo St Los Angeles CA 90005,http://www.equityapartments.com/los-angeles/wilshire-center/radius-koreatown-apartments,"$3,241–$3,370/mo",4.1,"Good floor plans, friendly leasing team, Koreatown, 170 reviews.","680 S Berendo St, Los Angeles, CA 90005",3.5,15 min,3.5,15 min
Nexen Apartments,2968 W 7th St Los Angeles CA 90005,https://nexenapartments.com/,"$3,280",4.3,"Brand new luxury apartments in Koreatown, smart floor plans, next-level living.","2968 W 7th St, Los Angeles, CA 90005",N/A,N/A,N/A,N/A
VOX at Cumulus,3333 S La Cienega Blvd Los Angeles CA 90016,https://www.voxatcumulus.com/,"$5,000",4.4,"Modern complex near Culver City, upscale amenities.","3333 S La Cienega Blvd, Los Angeles, CA 90016",N/A,N/A,N/A,N/A
Figueroa Eight,744 S Figueroa St Los Angeles CA 90017,https://www.figueroaeight.com/,"$6,000",4.1,"Luxury DTLA high-rise, premium finishes, prime location.","744 S Figueroa St, Los Angeles, CA 90017",2.5,10 min,2.5,10 min
WM by CLG,10401 Washington Blvd Culver City CA 90232,https://www.wmbyclg.com/,"$5,900",4.8,"Culver City luxury, high-end finishes, excellent management.","10401 Washington Blvd, Los Angeles, CA 90232",N/A,N/A,N/A,N/A
Met Lofts Apartments,1050 Flower St Los Angeles CA 90015,https://metlofts.com/,"$3,198",4.3,"South Park DTLA lofts, modern design, well-maintained.","1050 S Flower St, Los Angeles, CA 90015",2.1,10 min,2.1,10 min
888 at Grand Hope Park,888 S Hope St Los Angeles CA 90017,https://888hope.com/,"$4,000",4.2,"Grand Hope Park location, DTLA, modern amenities.","888 S Hope St, Los Angeles, CA 90017",N/A,N/A,N/A,N/A
Altitude Apartments,5900 Center Dr Los Angeles CA 90045,N/A,"$3,784–$4,097/mo",5.0,"Culver City area, 113 reviews avg 4.7, top-rated complex.","5900 Center Dr, Los Angeles, CA 90045",12.5,25 min,12.5,25 min
Meadows Apartments,6300 Green Valley Cir Culver City CA 90230,N/A,"$3,186/mo",3.7,"Culver City, 25 reviews, well-regarded community.","6300 Green Valley Cir, Culver City, CA 90230",9.5,25 min,9.5,25 min
The Mark Culver City,6060 Buckingham Pkwy Culver City CA 90230,N/A,"$3,595/mo",3.5,"Culver City, modern complex, good location.","6060 Buckingham Pkwy, Culver City, CA 90230",9.5,25 min,9.5,25 min
Palms Court,10125 Palms Blvd Los Angeles CA 90034,N/A,"$3,450–$3,595/mo",4.2,"Palms neighborhood, 1134 reviews, highly reviewed community.","10125 Palms Blvd, Los Angeles, CA 90034",10.5,35 min,10.5,35 min
Los Feliz Village,3939 Veselich Ave Los Angeles CA 90039,N/A,"$3,041+/mo",3.5,"Los Feliz, 72 reviews rated Fabulous, boutique community.","3939 Veselich Ave, Los Angeles, CA 90039",9.5,25 min,9.5,25 min
Rancho Los Feliz,3205 Los Feliz Blvd Los Angeles CA 90039,N/A,N/A,5.0,"Los Feliz, top-rated grounds and staff.","3205 Los Feliz Blvd, Los Angeles, CA 90039",9.2,25 min,9.2,25 min
Los Feliz Apartments,4505-4545 Los Feliz Blvd Los Angeles CA 90027,N/A,"$3,121/mo",4.0,"Los Feliz Blvd, 134 reviews, established community.","4505-4545 Los Feliz Blvd, Los Angeles, CA 90027",6.5,23 min,6.5,23 min
